"Burrito","Neighborhood","Yelp","Google","Chips","Cost","Hunger","Mass","Density","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat_filling","Uniformity","Salsa","Synergy","Wrap","overall","Beef","Pico","Guac","Cheese","Fries","Sour_cream","Pork","Chicken","Shrimp","Fish","Rice","Beans","Lettuce","Tomato","Bell_peper","Carrots","Cabbage","Sauce","Salsa_1","Cilantro","Onion","Taquito","Pineapple","Ham","Chile_relleno","Nopales","Lobster","Egg","Mushroom","Bacon","Avocado","Corn","Zucchini","Month"
"Chicken","Clairemont",3.89878048780488,4.17439024390244,0,4.99,3.5,546.181818181818,0.675277359895455,18.5,22.5,0.75,2.5,4.5,3,2.5,3,3,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hot cheetos","Linda Vista",3.5,4.5,1,7.29,3.5,546.181818181818,0.675277359895455,19,21.5,0.7,3,2,3.5,3.5,3,2.5,3.7,3.2,4.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Surfin California","Linda Vista",3.89878048780488,4.17439024390244,0,7.89,3,546.181818181818,0.675277359895455,18.5,25.5,0.96,4,5,4.5,4,4.5,3.5,3,4.5,2.5,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"California","Linda Vista",3.89878048780488,4.17439024390244,0,7.49,3.7,546.181818181818,0.675277359895455,20,26,1.08,4,3.5,3.9,4,3.7,2,3.5,4,4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Spicy a la Diabla","Linda Vista",3.89878048780488,4.17439024390244,0,7.49,5,546.181818181818,0.675277359895455,18,22,0.69,4,4,4,2,3,0,3.34848484848485,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Local","Linda Vista",3.89878048780488,4.17439024390244,0,7.9,3.5,546.181818181818,0.675277359895455,21.5,23.5,0.94,4.5,5,4,3.5,4,2.8,4,4.5,3.7,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Local","Linda Vista",3.89878048780488,4.17439024390244,0,7.9,2,546.181818181818,0.675277359895455,19.5,24,0.89,4.2,4,4.2,3.8,4,3,3.8,4.5,5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pollo asado","Linda Vista",3.89878048780488,4.17439024390244,0,5.99,4.5,546.181818181818,0.675277359895455,18.5,21,0.65,2,4,2.5,3.5,4.5,3,2,1.5,3.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Al pastor","Linda Vista",3.89878048780488,4.17439024390244,0,6.99,3.5,546.181818181818,0.675277359895455,18.5,20.5,0.62,2.5,4.5,4,4,2,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"California","Linda Vista",3.89878048780488,4.17439024390244,0,6.85,3.5,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,3,2,3.5,3.5,4,3,3.5,3.5,4.5,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"California","Linda Vista",3.89878048780488,4.17439024390244,0,6.85,4,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,5,5,4.5,4,5,4,4,5,5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"California","Linda Vista",3.89878048780488,4.17439024390244,0,7.04828042328042,4.3,546.181818181818,0.675277359895455,18.5,21.5,0.68,3,3,3.5,4,3,1.5,3.8,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"California","Clairemont",4,4,0,7.19,4.5,546.181818181818,0.675277359895455,20,24,0.92,4,2,3,3.8,3.5,2,4,4,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Local","Clairemont",3.89878048780488,4.17439024390244,0,7.9,2.5,546.181818181818,0.675277359895455,22,22,0.85,3,4.5,4.3,4,3,3.1,3.9,4.2,3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Local","Clairemont",3.89878048780488,4.17439024390244,0,7.9,3,546.181818181818,0.675277359895455,21,24,0.96,3,3.5,4.5,4,4,4,4,4,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Local","Clairemont",3.89878048780488,4.17439024390244,0,7.9,3,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,3.5,4,4,4,4.5,3.5,4,3.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Carnitas","Encinitas",4,4.7,0,7.35,3.5,415,0.6916666667,21,19,0.6,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"California","Encinitas",3.89878048780488,4.17439024390244,0,6.35,3.5,425,0.7083333333,19,20,0.6,4,3,3,3,2.5,3,3.5,2.8,5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"California","Encinitas",3.89878048780488,4.17439024390244,0,7.5,4,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,3,3.74109589041096,4,4,3,5,3,4,5,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"California everything","Encinitas",3.89878048780488,4.17439024390244,0,6.5,4.5,520,0.6265060241,22.5,21.5,0.83,4.5,3,3.5,4.5,3.5,4,3.5,4.3,4.3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"California everything","Encinitas",3.89878048780488,4.17439024390244,0,6.5,4,476,0.56,23,21.5,0.85,4,3.5,4.5,4,3.5,4.5,4,4,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"California everything mini","Encinitas",3.89878048780488,4.17439024390244,0,4.75,4,546.181818181818,0.675277359895455,18,17,0.41,4,4,4.5,4.3,4.5,4.5,4.8,4.8,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Surf & Turf","Encinitas",3.89878048780488,4.17439024390244,0,6.75,4,560,0.5656565657,24.5,22.5,0.99,4,4,4,3.5,3.5,3,2,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"California everything","Encinitas",3.89878048780488,4.17439024390244,0,6.5,4,546.181818181818,0.675277359895455,21.3,23.8,0.96,3,3,4,4,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Surf & Turf","Encinitas",3.89878048780488,4.17439024390244,0,6.75,4,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,3,5,5,3.52754569190601,3.56440318302387,5,3.34848484848485,4,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"California","Clairemont",4,4.1,1,7.1,4,546.181818181818,0.675277359895455,22.5,23,0.95,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Surf & Turf","Clairemont",3.89878048780488,4.17439024390244,0,8.25,3.5,546.181818181818,0.675277359895455,20,24,0.92,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Carnitas","Clairemont",3.89878048780488,4.17439024390244,0,5.99,4,450,0.703125,20,20,0.64,2,4.5,4.5,3,3.8,4.4,2.5,3.5,3,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Carnitas","Clairemont",3.89878048780488,4.17439024390244,0,5.99,4,546.181818181818,0.675277359895455,18.5,20,0.59,4,4,4,3,4,3.5,2.5,3.5,5,3.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"TGunz","Clairemont",3.89878048780488,4.17439024390244,0,10,3,920,0.5974025974,23,29,1.54,3,4,3.2,3.5,1.8,1.8,3.5,3.7,3.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"TGunz","Clairemont",3.89878048780488,4.17439024390244,0,10,4.2,925,0.6006493506,23,29,1.54,3,4.5,3.5,3.5,2.5,2,3,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adobada","Encinitas",3,3.8,0,6.25,4.4,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","Encinitas",3.89878048780488,4.17439024390244,0,6.25,3,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,4.5,4.5,3.7,3.5,4,3.5,3,4,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","La Jolla",4,4.5,0,7.75,5,546.181818181818,0.675277359895455,18,22.5,0.73,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","La Jolla",3.89878048780488,4.17439024390244,0,7.75,2.5,546.181818181818,0.675277359895455,20,22.5,0.81,4,4,2.6,3.6,4,4,3.6,4,4,2.9,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Al pastor tradicional ","Oceanside",4.5,5,0,8.25,3.8,430,0.6323529412,22.5,19.5,0.68,4,3.74109589041096,4,3,3,2.5,4,3,5,3.6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Grilled fish salmon","Oceanside",3.89878048780488,4.17439024390244,0,8.99,4,350,0.7446808511,15.5,19.5,0.47,3.5,3,3.5,3.5,4,2,4,4,4,3.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"California","Oceanside",3.89878048780488,4.17439024390244,0,6.85,4,546.181818181818,0.675277359895455,23.5,23,0.99,3.5,5,3.3,3,5,2,3,3.8,3.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","Oceanside",3.89878048780488,4.17439024390244,0,6.85,4,546.181818181818,0.675277359895455,23.5,23.5,1.03,4,5,4,4,5,3.5,2,3.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","Oceanside",3.89878048780488,4.17439024390244,0,7.4,3.3,546.181818181818,0.675277359895455,19.5,24.5,0.93,5,4,4.2,3.5,2.9,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","Oceanside",3.89878048780488,4.17439024390244,0,7.4,3.5,546.181818181818,0.675277359895455,19.5,26.5,1.09,4.5,4,4,3.5,3,3,2.5,4,3.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Cheese steak","Oceanside",3.89878048780488,4.17439024390244,0,9.95,4.2,600,0.7792207792,22,21,0.77,3.5,5,3,1.5,3,2.5,3,2.2,2.5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Asada","Hillcrest",4,4.2,0,7,3.5,450,0.625,19.5,21.5,0.72,4,4,2,2.5,4.5,4,3,2.9,4.5,2.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California Surf and Turf","Hillcrest",3.89878048780488,4.17439024390244,0,9,3,546.181818181818,0.675277359895455,24,22,0.92,3.5,4,4,4,4.5,4.5,2,3.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"California","Hillcrest",3.89878048780488,4.17439024390244,0,7,3.5,546.181818181818,0.675277359895455,23,21.5,0.85,3,3,2,2,3,2,3,2,3,2.2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Shrimp california","Hillcrest",3.89878048780488,4.17439024390244,0,6.99,4,580,0.8656716418,21,20,0.67,3,4,4,2.5,2.5,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"California","Hillcrest",3.89878048780488,4.17439024390244,0,7.19,3.5,635,0.7839506173,21,22,0.81,3.5,4.5,3.5,3.5,3,3.5,4,3.5,5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"California","Hillcrest",3.89878048780488,4.17439024390244,0,7.89,4,546.181818181818,0.675277359895455,19,22.5,0.77,3,3.74109589041096,4.5,4,4.5,4.5,4.5,4.8,3.3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"California","Hillcrest",3.89878048780488,4.17439024390244,0,7.89,4,546.181818181818,0.675277359895455,18,21.5,0.66,3,3.74109589041096,4,4,4.5,4,4.5,4.5,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"California","Hillcrest",3.89878048780488,4.17439024390244,0,6.9,4.3,550,0.6875,19,23,0.8,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Surf & Turf","Hillcrest",3.89878048780488,4.17439024390244,0,8.55,3,610,0.7261904762,20,23,0.84,3,2.5,3,3,3.5,2.8,3.5,2.8,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"California","Hillcrest",3.89878048780488,4.17439024390244,0,7.8,2.5,620,0.6326530612,20.5,24.5,0.98,3,2,3.5,3,3,4,3,3.8,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"carne asada ","Sorrento Valley",3.5,4.4,0,5.56,2.5,420,0.6176470588,21.5,20,0.68,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"carne asada ","Sorrento Valley",3.89878048780488,4.17439024390244,0,5.56,4,546.181818181818,0.675277359895455,21,21.5,0.77,4,4,4,3,4,2,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"fried fish","Sorrento Valley",3.89878048780488,4.17439024390244,0,5.56,3.5,546.181818181818,0.675277359895455,22.5,19,0.65,3.5,3,3.59624664879357,3.5,3,4,4.5,3.5,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"California","Sorrento Valley",3.89878048780488,4.17439024390244,0,6.47,4,546.181818181818,0.675277359895455,23,22,0.89,1,2,2,2,3,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Carne asada","Austin",3.89878048780488,4.17439024390244,0,6.99,3,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,3,4.5,2,3,2.5,4,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"California","Austin",3.89878048780488,4.17439024390244,0,6.99,4,546.181818181818,0.675277359895455,20.5,21.5,0.75,4,3.74109589041096,3.5,3.5,3.5,3.5,3.5,3.5,5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Local","Austin",3.89878048780488,4.17439024390244,0,8.5,3.8,546.181818181818,0.675277359895455,23,22,0.89,4,4.5,3,4,3,2.5,3.5,3.5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Local","Austin",3.89878048780488,4.17439024390244,0,8.5,4,546.181818181818,0.675277359895455,22,21,0.77,4,4,3.75,4,3.5,3.5,4,5,3.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Carne asada","Austin",3.89878048780488,4.17439024390244,0,6.75,4,546.181818181818,0.675277359895455,19.5,21,0.68,4,4.5,3.5,3.5,4.5,4.5,3,3.5,4,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"California","Austin",3.89878048780488,4.17439024390244,0,8.35,4.5,546.181818181818,0.675277359895455,21,23,0.88,3,3,4,3,4,2.5,4,4.5,4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"California","Austin",3.89878048780488,4.17439024390244,0,7,4,546.181818181818,0.675277359895455,19.5,21.5,0.72,4.5,5,4,4,4,3.7,3.8,4.6,4.8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"California","Del Mar",4,4.2,0,6.99,4,550,0.7857142857,20,21,0.7,4,5,3.5,3.8,3,2.5,3.3,4,5,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Steak fajitas","Del Mar",3.89878048780488,4.17439024390244,0,7.1,3,546.181818181818,0.675277359895455,21,22,0.81,3.5,5,4,4,4.5,4.75,3.75,4,5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Hashbrown","Del Mar",3.89878048780488,4.17439024390244,0,6.47,4,450,0.625,22.5,20,0.72,3,3,2,2.5,1.5,2.5,2.5,3,5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Hashbrown","Del Mar",3.89878048780488,4.17439024390244,0,8.94,3.5,546.181818181818,0.675277359895455,21.5,22,0.83,2.5,3.5,3.5,3.5,3.5,4,3,3.5,4.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Carnitas","Del Mar",3.89878048780488,4.17439024390244,0,5.99,2,546.181818181818,0.675277359895455,20,21.5,0.74,2,2.5,4,3,4,3.5,3,3,5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Carne asada","Del Mar",3.89878048780488,4.17439024390244,0,6.99,3.5,546.181818181818,0.675277359895455,20.0729880478088,22.0989959839357,0.785461847389558,4,4,4,4.5,4,3.5,4,4,4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Local","Del Mar",3.89878048780488,4.17439024390244,0,8.5,3.5,540,0.6835443038,21.5,21.5,0.79,3.5,4,4.5,4,3,4,3.5,4.5,5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Local","Del Mar",3.89878048780488,4.17439024390244,0,8.5,3.5,540,0.6136363636,21,23,0.88,4,4,4,4.5,4.2,4.5,4,4.5,4.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"California ","Del Mar",3.89878048780488,4.17439024390244,0,6.85,3.5,546.181818181818,0.675277359895455,22.5,22.5,0.91,3,4.5,3.8,3.8,4,3.5,3.5,4,3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"California ","Del Mar",3.89878048780488,4.17439024390244,0,6.85,3.5,546.181818181818,0.675277359895455,22.2,22.5,0.89,3,4.5,4,4,4.5,3,4,4,3.5,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"California ","Del Mar",3.89878048780488,4.17439024390244,0,7.89,4,546.181818181818,0.675277359895455,19,23,0.8,4,3,4,4,3,4,3.5,4.3,4.5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"California ","Del Mar",3.89878048780488,4.17439024390244,0,7.89,5,546.181818181818,0.675277359895455,20,21.5,0.74,5,5,5,5,4,4,5,5,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
