month,year,drivers,kms,petrol,law
1,69,1687,9059,0.102971812,0
2,69,1508,7685,0.102362996,0
3,69,1507,9963,0.102062491,0
4,69,1385,10955,0.100873301,0
5,69,1632,11823,0.101019673,0
6,69,1511,12391,0.100581192,0
7,69,1559,13460,0.103773981,0
8,69,1630,14055,0.104076404,0
9,69,1579,12106,0.103773981,0
10,69,1653,11372,0.103026401,0
11,69,2152,9834,0.102730112,0
12,69,2148,9267,0.101997192,0
1,70,1752,9130,0.101274563,0
2,70,1765,8933,0.100703976,0
3,70,1717,11000,0.100139607,0
4,70,1558,10733,0.098621104,0
5,70,1575,12912,0.098349285,0
6,70,1520,12926,0.098080177,0
7,70,1805,13990,0.097279208,0
8,70,1800,14926,0.097410624,0
9,70,1719,12900,0.097425237,0
10,70,2008,12034,0.096380633,0
11,70,2242,10643,0.095738956,0
12,70,2478,10742,0.095106306,0
1,71,2030,10266,0.096735967,0
2,71,1655,10281,0.096109222,0
3,71,1693,11527,0.095367255,0
4,71,1623,12281,0.094709592,0
5,71,1805,13587,0.09411762,0
6,71,1746,13049,0.093532155,0
7,71,1795,16055,0.092954049,0
8,71,1926,15220,0.092839786,0
9,71,1619,13824,0.092724736,0
10,71,1992,12729,0.092269651,0
11,71,2233,11467,0.091706685,0
12,71,2192,11351,0.091262072,0
1,72,2080,10803,0.090711603,0
2,72,1768,10548,0.090276328,0
3,72,1835,12368,0.089951918,0
4,72,1569,13311,0.089099639,0
5,72,1976,13885,0.088679193,0
6,72,1853,14088,0.088159289,0
7,72,1965,16932,0.088902057,0
8,72,1689,16164,0.088181331,0
9,72,1778,14883,0.088940293,0
10,72,1976,13532,0.08772661,0
11,72,2397,12220,0.087428846,0
12,72,2654,12025,0.08703543,0
1,73,2097,11692,0.086449919,0
2,73,1963,11081,0.085872641,0
3,73,1677,13745,0.085398222,0
4,73,1941,14382,0.083821981,0
5,73,2003,14391,0.08459078,0
6,73,1813,15597,0.084136904,0
7,73,2012,16834,0.083778405,0
8,73,1912,17282,0.083510743,0
9,73,2084,15779,0.082806394,0
10,73,2080,13946,0.081178893,0
11,73,2118,12701,0.082853607,0
12,73,2150,10431,0.094190119,0
1,74,1608,11616,0.092399843,0
2,74,1503,10808,0.108161478,0
3,74,1548,12421,0.107211689,0
4,74,1382,13605,0.114042967,0
5,74,1731,14455,0.112454116,0
6,74,1798,15019,0.111316253,0
7,74,1779,15662,0.110301252,0
8,74,1887,16745,0.108197177,0
9,74,2004,14717,0.107027443,0
10,74,2077,13756,0.104946981,0
11,74,2092,12531,0.119357749,0
12,74,2051,12568,0.117621904,0
1,75,1577,11249,0.133027421,0
2,75,1356,11096,0.130845244,0
3,75,1652,12637,0.128318477,0
4,75,1382,13018,0.123547448,0
5,75,1519,15005,0.118586812,0
6,75,1421,15235,0.11633748,0
7,75,1442,15552,0.115161476,0
8,75,1543,16905,0.114501197,0
9,75,1656,14776,0.113522979,0
10,75,1561,14104,0.111930179,0
11,75,1905,12854,0.110610529,0
12,75,2199,12956,0.115274389,0
1,76,1473,12177,0.113793486,0
2,76,1655,11918,0.112349582,0
3,76,1407,13517,0.111753469,0
4,76,1395,14417,0.109642523,0
5,76,1530,15911,0.108440895,0
6,76,1309,15589,0.107884939,0
7,76,1526,16543,0.109084769,0
8,76,1327,17925,0.10757145,0
9,76,1627,15406,0.106164022,0
10,76,1748,14601,0.106299999,0
11,76,1958,13107,0.104825313,0
12,76,2274,12268,0.103451746,0
1,77,1648,11972,0.10144992,0
2,77,1401,12028,0.100402316,0
3,77,1411,14033,0.098862034,0
4,77,1403,14244,0.102496154,0
5,77,1394,15287,0.103027432,0
6,77,1520,16954,0.102178908,0
7,77,1528,17361,0.099836643,0
8,77,1643,17694,0.09263669,0
9,77,1515,16222,0.091814963,0
10,77,1685,14969,0.090724304,0
11,77,2000,13624,0.090021207,0
12,77,2215,13842,0.089330706,0
1,78,1956,12387,0.088442735,0
2,78,1462,11608,0.088352569,0
3,78,1563,15021,0.086757362,0
4,78,1459,14834,0.084995242,0
5,78,1446,16565,0.084567944,0
6,78,1622,16882,0.084431899,0
7,78,1657,18012,0.084350883,0
8,78,1638,18855,0.083600983,0
9,78,1643,17243,0.083417263,0
10,78,1683,16045,0.08274514,0
11,78,2050,14745,0.085235267,0
12,78,2262,13726,0.084770303,0
1,79,1813,11196,0.084458921,0
2,79,1445,12105,0.085352119,0
3,79,1762,14723,0.087559213,0
4,79,1461,15582,0.090382917,0
5,79,1556,16863,0.090783294,0
6,79,1431,16758,0.10874278,0
7,79,1427,17434,0.114142227,0
8,79,1554,18359,0.112992933,0
9,79,1645,17189,0.111320706,0
10,79,1653,16909,0.109126229,0
11,79,2016,15380,0.107698459,0
12,79,2207,15161,0.107601574,0
1,80,1665,14027,0.103775019,0
2,80,1361,14478,0.10711417,0
3,80,1506,16155,0.107374774,0
4,80,1360,16585,0.111695373,0
5,80,1453,18117,0.110638185,0
6,80,1522,17552,0.111855211,0
7,80,1460,18299,0.109742343,0
8,80,1552,19361,0.108193932,0
9,80,1548,17924,0.106255363,0
10,80,1827,17872,0.104193034,0
11,80,1737,16058,0.101933973,0
12,80,1941,15746,0.102793825,0
1,81,1474,15226,0.104760341,0
2,81,1458,14932,0.104002536,0
3,81,1542,16846,0.116655515,0
4,81,1404,16854,0.115161476,0
5,81,1522,18146,0.112989543,0
6,81,1385,17559,0.113860644,0
7,81,1641,18655,0.119118081,0
8,81,1510,19453,0.124489986,0
9,81,1681,17923,0.123222945,0
10,81,1938,17915,0.120677932,0
11,81,1868,16496,0.121048983,0
12,81,1726,13544,0.116968571,0
1,82,1456,13601,0.112750259,0
2,82,1445,15667,0.108079307,0
3,82,1456,17358,0.108838516,0
4,82,1365,18112,0.111291766,0
5,82,1487,18581,0.111304009,0
6,82,1558,18759,0.115454358,0
7,82,1488,20668,0.114768296,0
8,82,1684,21040,0.117207431,0
9,82,1594,18993,0.119076397,0
10,82,1850,18668,0.117965862,0
11,82,1998,16768,0.117449127,0
12,82,2079,16551,0.116988458,0
1,83,1494,16231,0.112610536,0
2,83,1057,15511,0.113657016,1
3,83,1218,18308,0.113144445,1
4,83,1168,17793,0.118495535,1
5,83,1236,19205,0.117969401,1
6,83,1076,19162,0.117686614,1
7,83,1174,20997,0.120059239,1
8,83,1139,20705,0.119437746,1
9,83,1427,18759,0.118881272,1
10,83,1487,19240,0.118462361,1
11,83,1483,17504,0.118016598,1
12,83,1513,16591,0.117706623,1
1,84,1357,16224,0.11777609,1
2,84,1165,16670,0.114796992,1
3,84,1282,18539,0.115735253,1
4,84,1110,19759,0.115356263,1
5,84,1297,19584,0.114815361,1
6,84,1185,19976,0.114777478,1
7,84,1222,21486,0.11493598,1
8,84,1284,21626,0.114796992,1
9,84,1444,20195,0.114093157,1
10,84,1575,19928,0.116465522,1
11,84,1737,18564,0.116026113,1
12,84,1763,18149,0.116066729,1